commie	https://www.youtube.com/watch?v=rIY36UbDbQQ
ok	´_ゝ｀
rotfl	(*≧▽≦)ﾉｼ))
kita	キタ━━━(゜∀゜)━━━!!!!!
boh	´_ゝ｀
smile	ツ
isee	( ͡° ͜ʖ ͡°)
stfu	(＃｀д´)ﾉ
roxaspls	aggiungili tu
lenny	( ͡° ͜ʖ ͡°)
wat	°_ゝ°
hug	(づ｡◕‿‿◕｡)づ
embarassed	(^ ^;)
giff	(つ ◕_◕ )つ
cry	｡゜(｀Д´)゜｡
cantexplainthat	¯\_(ツ)_/¯
itshere	キタ━━━(゜∀゜)━━━!!!!!
dunno	¯\_(ツ)_/¯
tableflip	┻━┻ ︵ヽ(`Д´)ﾉ
love	（●´∀｀）ノ♡
surprised	(」゜ロ゜)」
gg	(=´∀`)人(´∀‘=)
vabbe	ヽ(´ｰ｀ )ﾉ
grin	(¬‿¬)
sad	o(；△；)o
iamapirate	https://www.youtube.com/watch?v=IBH4g_ua5es
riot	ヽ༼ຈل͜ຈ༽ﾉ
starthrowing	 (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧*:･ﾟ✧
escape	ε===(っ≧ω≦)っ
gomen	(シ_ _)シ
